,first_name,last_name,party,state,vote_cast
0,Tammy,Baldwin,D,WI,Yea
1,John,Barrasso,R,WY,Nay
2,Michael,Bennet,D,CO,Yea
3,Marsha,Blackburn,R,TN,Nay
4,Richard,Blumenthal,D,CT,Yea
5,Roy,Blunt,R,MO,Nay
6,Cory,Booker,D,NJ,Not Voting
7,John,Boozman,R,AR,Nay
8,Mike,Braun,R,IN,Nay
9,Sherrod ,Brown,D,OH,Yea
10,Richard,Burr,R,NC,Yea
11,Maria,Cantwell,D,WA,Yea
12,Shelley,Capito,R,WV,Yea
13,Ben,Cardin,D,MD,Yea
14,Thomas,Carper,D,DE,Yea
15,Bob,Casey,D,PA,Yea
16,Bill,Cassidy,R,LA,Nay
17,Susan,Collins,R,ME,Yea
18,Christopher,Coons,D,DE,Yea
19,John,Cornyn,R,TX,Yea
20,Catherine,Cortez Masto,D,NV,Yea
21,Tom,Cotton,R,AR,Nay
22,Kevin,Cramer,R,ND,Nay
23,Mike,Crapo,R,ID,Not Voting
24,Ted,Cruz,R,TX,Nay
25,Steve,Daines,R,MT,Nay
26,Tammy,Duckworth,D,IL,Yea
27,Richard,Durbin,D,IL,Yea
28,Joni,Ernst,R,IA,Yea
29,Dianne,Feinstein,D,CA,Yea
30,Deb,Fischer,R,NE,Yea
31,Kirsten,Gillibrand,D,NY,Yea
32,Lindsey,Graham,R,SC,Yea
33,Charles,Grassley,R,IA,Yea
34,Bill,Hagerty,R,TN,Nay
35,Maggie,Hassan,D,NH,Yea
36,Josh,Hawley,R,MO,Nay
37,Martin,Heinrich,D,NM,Yea
38,John,Hickenlooper,D,CO,Yea
39,Mazie,Hirono,D,HI,Yea
40,John,Hoeven,R,ND,Nay
41,Cindy,Hyde-Smith,R,MS,Nay
42,Jim,Inhofe,R,OK,Nay
43,Ron,Johnson,R,WI,Nay
44,Timothy,Kaine,D,VA,Yea
45,Mark,Kelly,D,AZ,Not Voting
46,John,Kennedy,R,LA,Nay
47,Angus,King,I,ME,Yea
48,Amy,Klobuchar,D,MN,Yea
49,James,Lankford,R,OK,Nay
50,Patrick,Leahy,D,VT,Yea
51,Mike,Lee,R,UT,Yea
52,Ben,Lujan,D,NM,Yea
53,Cynthia,Lummis,R,WY,Nay
54,Joseph,Manchin,D,WV,Yea
55,Edward,Markey,D,MA,Yea
56,Roger,Marshall,R,KS,Nay
57,Mitch,McConnell,R,KY,Nay
58,Robert,Menendez,D,NJ,Yea
59,Jeff,Merkley,D,OR,Yea
60,Jerry,Moran,R,KS,Nay
61,Lisa,Murkowski,R,AK,Yea
62,Christopher,Murphy,D,CT,Yea
63,Patty,Murray,D,WA,Yea
64,Jon,Ossoff,D,GA,Yea
65,Alex,Padilla,D,CA,Yea
66,Rand,Paul,R,KY,Nay
67,Gary,Peters,D,MI,Yea
68,Rob,Portman,R,OH,Yea
69,John,Reed,D,RI,Yea
70,James ,Risch,R,ID,Nay
71,Mitt,Romney,R,UT,Yea
72,Jacklyn,Rosen,D,NV,Yea
73,Mike,Rounds,R,SD,Yea
74,Marco,Rubio,R,FL,Yea
75,Bernard,Sanders,I,VT,Yea
76,Ben,Sasse,R,NE,Not Voting
77,Brian,Schatz,D,HI,Yea
78,Charles,Schumer,D,NY,Yea
79,Rick,Scott,R,FL,Nay
80,Tim,Scott,R,SC,Nay
81,Jeanne,Shaheen,D,NH,Yea
82,Richard,Shelby,R,AL,Nay
83,Kyrsten,Sinema,D,AZ,Yea
84,Tina,Smith,D,MN,Yea
85,Debbie,Stabenow,D,MI,Yea
86,Dan,Sullivan,R,AK,Nay
87,Jon,Tester,D,MT,Yea
88,John,Thune,R,SD,Nay
89,Thomas,Tillis,R,NC,Yea
90,Patrick,Toomey,R,PA,Nay
91,Tommy,Tuberville,R,AL,Nay
92,Chris,Van Hollen,D,MD,Yea
93,Mark,Warner,D,VA,Yea
94,Raphael,Warnock,D,GA,Yea
95,Elizabeth,Warren,D,MA,Yea
96,Sheldon,Whitehouse,D,RI,Yea
97,Roger,Wicker,R,MS,Nay
98,Ron,Wyden,D,OR,Yea
99,Todd,Young,R,IN,Nay
